District,2006 to 2007 in hectare,2007 to 2008 in hectare,2008 to 2009 in hectare,2009 to 2010 in hectare,2010 to 2011 in hectare,2011 to 2012 in hectare,2012 to 2013 in hectare
Jabalpur,2240,5584,3862,2771,4251,6827,15985
Katni,291,680,483,343,409,560,782
Balaghat,104,109,97,116,93,58,44
Chindwara,139798,144594,147912,157217,161561,146659,153727
Seoni,99848,110104,113504,113239,120161,122138,118994
Mandala,1251,2527,2408,2252,2332,3270,3111
Narshinghpur,52647,63023,75029,79677,70949,75662,94142
Sagar,202913,321753,303056,308548,303594,318038,335215
Damoh,54564,108702,92979,90993,62110,50544,102710
Panna,1662,4492,5333,11112,8816,11172,17030
Tikamgarh,24869,32878,37074,36670,31473,39233,54166
Chhatarpur,22066,31903,33511,41644,47380,60896,73206
Rewa,19396,22666,24529,28533,29746,35463,36008
Sidhi,93,89,131,106,155,101,67
Singrouli,0,0,0,1,2,0,0
Satna,30765,46657,51437,54159,46401,50639,55287
Shahdol,1844,2362,1980,3371,2906,5262,6401
Anuppur,1321,1805,2071,2474,3025,3444,4657
Umaria,91,189,381,687,1248,2107,2871
Dindori,5130,5387,5459,5798,6394,8901,6733
Bhopal,92321,96061,103983,103292,106792,107712,110462
Sehore,243578,284541,282554,284444,283858,289763,308677
Raisen,69662,128310,116637,123292,143921,174866,196487
Vidisha,143406,180345,192976,217852,249232,242251,289763
Rajgarh,273079,277426,283168,292054,298955,313107,326224
Indore,224193,226047,220991,226819,223079,226407,228176
Dhar,247272,250261,260142,268058,267948,277526,277787
Jhabua,34002,40620,39914,43683,47294,49049,52010
Alirajpur,0,0,11244,14367,15590,15785,16206
Khargone,57139,53619,52813,48200,43670,41083,48996
Barwani,29572,29679,31171,31404,33138,35375,37511
Khandwa,149602,152351,154317,154441,165380,169387,182297
Burhanpur,13126,14324,14321,15068,15113,15618,17179
Ujjain,430340,431720,443713,453838,451762,456653,458822
Mandsour,250883,255922,259064,262564,261474,270462,277776
Neemuch,123124,120327,122288,120011,119787,123021,126236
Ratlam,188530,197643,204667,208186,210734,216878,224530
Dewas,282514,296090,303541,306593,321639,324299,340532
Shajapur,327024,331425,337092,340534,348574,355373,371100
Morena,277,247,226,239,285,392,336
Sheopur,14749,15404,13690,9841,8031,28774,36781
Bhind,28,26,2,1,2,17,3
Gwalior,15941,16963,6974,4174,2160,1675,8158
Shivpuri,103710,103173,115868,118955,121592,166485,162787
Guna,140729,162370,177375,188948,212013,212999,234532
Ashoknagar,45759,48466,53336,65199,65780,108023,118835
Betul,416,352,270,265,325,709,800
Betul,173919,194077,196974,210304,229015,206858,236004
Hoshangabad,194858,206698,211925,214734,216702,220745,223664
Harda,160549,167937,168865,172778,171507,180195,178831
Total,4691195,5187928,5281337,5439849,5538358,5772461,6172638
,,,,,,,
